applicationid,FINAL_PD,PRED
Д\286\011298847,0.0035052257403234465,0.0
Д\286\011590777,0.004452106008224502,0.0
Д\286\011590836,0.0036626336960096846,0.0
Д\286\011590891,0.004831970816424205,0.0
Д\286\011590935,0.0032289426245123154,0.0
Д\286\011590937,0.011847352223605069,0.0
Д\286\011591003,0.0035059973226155227,0.0
Д\286\011591004,0.009633487313218506,0.0
Д\286\011591006,0.003312598284043949,0.0
Д\286\011591020,0.012134848253660166,0.0
Д\286\011591044,0.006163617795835419,0.0
Д\286\011591084,0.003000099153222322,0.0
Д\286\011591088,0.0073866838699669125,0.0
Д\286\011591098,0.003776183798932655,0.0
Д\286\011591099,0.003000099153222322,0.0
Д\286\011591102,0.0032280330650603086,0.0
Д\286\011591105,0.00523855260699091,0.0
Д\286\011591106,0.017262359232616507,0.0
Д\286\011591115,0.003519914984958076,0.0
Д\286\011591117,0.0038508733414428973,0.0
Д\286\011591148,0.006544735894043717,0.0
Д\286\011591151,0.003352708830216721,0.0
Д\286\011591156,0.004011638770098105,0.0
Д\286\011591165,0.005183216211119452,0.0
Д\286\011591243,0.0034353376992117147,0.0
Д\286\011591276,0.01099882594520667,0.0
Д\286\011591291,0.003510549309113959,0.0
Д\286\011591375,0.0038507193883234665,0.0
Д\286\011591387,0.009064889087630958,0.0
Д\286\011591391,0.0031597914448469547,0.0
Д\286\011591393,0.00759294547015159,0.0
Д\286\011591396,0.009661653212286226,0.0
Д\286\011591406,0.0036874143696854884,0.0
Д\286\011591420,0.005138974190411088,0.0
Д\286\011591422,0.0037784090993325803,0.0
Д\286\011591433,0.0081423078014863,0.0
Д\286\011591440,0.0033903832303545547,0.0
Д\286\011591448,0.005809212575407094,0.0
Д\286\011591456,0.00443714995262649,0.0
Д\286\011591457,0.003134403770696835,0.0
Д\286\011591458,0.005263234068814775,0.0
Д\286\011591508,0.003909365973788436,0.0
Д\286\011591512,0.004174713165782401,0.0
Д\286\011591520,0.006089965848912797,0.0
Д\286\011591523,0.0073866838699669125,0.0
Д\286\011591625,0.010278961931302764,0.0
Д\286\011591643,0.003693699156309358,0.0
Д\286\011591655,0.003971756295437093,0.0
Д\286\011591683,0.00977373520850791,0.0
Д\286\011591687,0.006202141930738262,0.0
Д\286\011591697,0.0036626336960096846,0.0
Д\286\011591705,0.004466705937881867,0.0
Д\286\011591728,0.003395291045479235,0.0
Д\286\011591739,0.004199209851784193,0.0
Д\286\011591766,0.017023329924829966,0.0
Д\286\011591792,0.005712787890510578,0.0
Д\286\011591847,0.003406725953157002,0.0
Д\286\011591878,0.004869584182825744,0.0
Д\286\011591896,0.0034900585583747083,0.0
Д\286\011591905,0.007162163929746539,0.0
Д\286\011591909,0.014372799498749285,0.0
Д\286\011591971,0.0037730445445146076,0.0
Д\286\011591983,0.005380654988823453,0.0
Д\286\011591991,0.003932193478595756,0.0
Д\286\011591992,0.0031332022366402806,0.0
Д\286\011592004,0.004586192339048138,0.0
Д\286\011592014,0.004207957432960503,0.0
Д\286\011592017,0.003377299656504106,0.0
Д\286\011592041,0.003988994621264518,0.0
Д\286\011592078,0.003636353073186081,0.0
Д\286\011592086,0.005560721063706296,0.0
Д\286\011592104,0.008059048318772017,0.0
Д\286\011592164,0.005343070028145758,0.0
Д\286\011592183,0.00375872390821256,0.0
Д\286\011592194,0.003989349157288446,0.0
Д\286\011592206,0.0071240869433857506,0.0
Д\286\011592239,0.005029046425201997,0.0
Д\286\011592249,0.013267687646204495,0.0
Д\286\011592293,0.0038507193883234665,0.0
Д\286\011592337,0.0035851850287582808,0.0
Д\286\011592364,0.004319115719664343,0.0
Д\286\011592389,0.003177344494017946,0.0
Д\286\011592442,0.004384350500919604,0.0
Д\286\011592445,0.004013887874732387,0.0
Д\286\011592446,0.0033293470091204174,0.0
Д\286\011592459,0.004540020080422911,0.0
Д\286\011592461,0.0031610031431164014,0.0
Д\286\011592464,0.003134403770696835,0.0
Д\286\011592496,0.004622969737802152,0.0
Д\286\011592500,0.003708802270918938,0.0
Д\286\011592537,0.006271634246586844,0.0
Д\286\011592570,0.005211534699027728,0.0
Д\286\011592611,0.008198891920182588,0.0
Д\286\011592615,0.0057204903256938035,0.0
Д\286\011592644,0.003506762340678369,0.0
Д\286\011592737,0.008064519666935577,0.0
Д\286\011592782,0.0036626336960096846,0.0
Д\286\011592787,0.007251469011067722,0.0
Д\286\011592815,0.0036517258727726794,0.0
Д\286\011592828,0.007282573403920832,0.0
Д\286\011592845,0.003264313109865217,0.0
Д\286\011592895,0.006185192715185207,0.0
Д\286\011592913,0.007642687653742787,0.0
Д\286\011592928,0.005633275304946432,0.0
Д\286\011592941,0.0036901315638586552,0.0
Д\286\011592969,0.005157198255144508,0.0
Д\286\011593051,0.0039186874391288,0.0
Д\286\011593054,0.0033574219157906935,0.0
Д\286\011593067,0.007944614369990628,0.0
Д\286\011593072,0.003231520008610353,0.0
Д\286\011593080,0.003708802270918938,0.0
Д\286\011593125,0.0030021891788911802,0.0
Д\286\011593141,0.0036517258727726794,0.0
Д\286\011593145,0.006345671521690746,0.0
Д\286\011593153,0.00423931496802046,0.0
Д\286\011593176,0.00457203789589907,0.0
Д\286\011593177,0.003823198633078979,0.0
Д\286\011593179,0.003434021203330019,0.0
Д\286\011593220,0.003891491228877403,0.0
Д\286\011593245,0.003177344494017946,0.0
Д\286\011593279,0.00878731279399298,0.0
Д\286\011593295,0.005329531041617015,0.0
Д\286\011593296,0.0036636652623261664,0.0
Д\286\011593332,0.013835562904173013,0.0
Д\286\011593333,0.005726805390665157,0.0
Д\286\011593334,0.003693699156309358,0.0
Д\286\011593349,0.005553742236248945,0.0
Д\286\011593369,0.0055743675285215705,0.0
Д\286\011593370,0.0030021891788911802,0.0
Д\286\011593390,0.00414429964749015,0.0
Д\286\011593399,0.0050629117729408535,0.0
Д\286\011593469,0.005022653224300353,0.0
Д\286\011593474,0.004389426036402355,0.0
Д\286\011593481,0.004619600151135889,0.0
Д\286\011593539,0.004170212735832439,0.0
Д\286\011593550,0.0036947394396442254,0.0
Д\286\011593568,0.005246772105622686,0.0
Д\286\011593605,0.0036322720797561923,0.0
Д\286\011593616,0.0035082158636820333,0.0
Д\286\011593654,0.0036636652623261664,0.0
Д\286\011593659,0.005922194643591203,0.0
Д\286\011593751,0.007542104924902844,0.0
Д\286\011593762,0.005369710175081338,0.0
Д\286\011593787,0.00473734187725825,0.0
Д\286\011593818,0.0032531193436227544,0.0
Д\286\011593840,0.004441037789488191,0.0
Д\286\011593894,0.0030033406228555204,0.0
Д\286\011593907,0.0043040493969336326,0.0
Д\286\011593995,0.0032655647581858803,0.0
Д\286\011594037,0.0056589373500462534,0.0
Д\286\011594050,0.003718855786939095,0.0
Д\286\011594092,0.011613829778085899,0.0
Д\286\011594107,0.0039046649128055408,0.0
Д\286\011594112,0.00974937251640963,0.0
Д\286\011594114,0.004568518541148195,0.0
Д\286\011594117,0.0032531193436227544,0.0
Д\286\011594140,0.003408119384543283,0.0
Д\286\011594188,0.004720441151600607,0.0
Д\286\011594203,0.0030033406228555204,0.0
Д\286\011594220,0.006011915532916507,0.0
Д\286\011594227,0.005868879002071458,0.0
Д\286\011594251,0.0035053457122629027,0.0
Д\286\011594260,0.006233055664176943,0.0
Д\286\011594272,0.004499693235618004,0.0
Д\286\011594274,0.005369710175081338,0.0
Д\286\011594277,0.0056589373500462534,0.0
Д\286\011594314,0.00833383147260898,0.0
Д\286\011594342,0.004026119420416511,0.0
Д\286\011594361,0.0040791285975383396,0.0
Д\286\011594384,0.003134403770696835,0.0
Д\286\011594405,0.011378589846913024,0.0
Д\286\011594437,0.003848800103207429,0.0
Д\286\011594509,0.00415048461576557,0.0
Д\286\011594526,0.003793453855130539,0.0
Д\286\011594536,0.0036589154655965865,0.0
Д\286\011594542,0.0033215499161171006,0.0
Д\286\011594544,0.003231520008610353,0.0
Д\286\011594545,0.003133520758135804,0.0
Д\286\011594565,0.004304907680891865,0.0
Д\286\011594566,0.0038858197435877786,0.0
Д\286\011594754,0.003963540012768436,0.0
Д\286\011594780,0.004286376693807855,0.0
Д\286\011594789,0.004807170709855434,0.0
Д\286\011594808,0.0051133146258912935,0.0
Д\286\011594946,0.003510549309113959,0.0
Д\286\011594967,0.0036897153484360635,0.0
Д\286\011594974,0.00415048461576557,0.0
Д\286\011595016,0.0036246770177090167,0.0
Д\286\011595061,0.0038556206912436558,0.0
Д\286\011595067,0.016413267979284933,0.0
Д\286\011595094,0.0033550854209537153,0.0
Д\286\011595108,0.003945243961508249,0.0
Д\286\011595172,0.0044671712695992264,0.0
Д\286\011595179,0.004614810658700486,0.0
Д\286\011595218,0.0045786277383759524,0.0
Д\286\011595245,0.0076941662544814686,0.0
Д\286\011595252,0.0071783246106718315,0.0
Д\286\011595346,0.004813093278241538,0.0
Д\286\011595374,0.0036634398000982616,0.0
Д\286\011595387,0.0034813909278950755,0.0
Д\286\011595390,0.003434021203330019,0.0
Д\286\011595432,0.005369710175081338,0.0
Д\286\011595451,0.003630889496029099,0.0
Д\286\011595537,0.004452106008224502,0.0
Д\286\011595593,0.0038154265571716476,0.0
Д\286\011595601,0.004390710165772347,0.0
Д\286\011595608,0.004175674725532988,0.0
Д\286\011595618,0.0032089602641318373,0.0
Д\286\011595628,0.0039649557337046405,0.0
Д\286\011595643,0.010421046041558434,0.0
Д\286\011595884,0.00654007093756754,0.0
Д\286\011595890,0.003983401724935161,0.0
Д\286\011595932,0.0046093353054172765,0.0
Д\286\011596055,0.00562379078766332,0.0
Д\286\011596088,0.007598093165915648,0.0
Д\286\011596094,0.009139789003843867,0.0
Д\286\011596102,0.003616318833389965,0.0
Д\286\011596140,0.007362435830327938,0.0
Д\286\011596201,0.00840512941823488,0.0
Д\286\011596203,0.003687447881059097,0.0
Д\286\011596205,0.0038556206912436558,0.0
Д\286\011596231,0.004267666395430559,0.0
Д\286\011596338,0.004668728310852152,0.0
Д\286\011596417,0.009940466515447648,0.0
Д\286\011596438,0.011847352223605069,0.0
Д\286\011596483,0.0031327452531724333,0.0
Д\286\011596577,0.008469410024504902,0.0
Д\286\011596597,0.006960491229399085,0.0
Д\286\011596622,0.003377299656504106,0.0
Д\286\011596745,0.010870705366098707,0.0
Д\286\011596749,0.0037947228539093976,0.0
Д\286\011596760,0.010775007180203385,0.0
Д\286\011596808,0.009579471955318554,0.0
Д\286\011596833,0.006351690473419565,0.0
Д\286\011596952,0.0030033406228555204,0.0
Д\286\011597076,0.009072896798539145,0.0
Д\286\011597092,0.0120370196439441,0.0
Д\286\011597114,0.004140915707316887,0.0
Д\286\011597120,0.0030033406228555204,0.0
Д\286\011597122,0.009276757867944815,0.0
Д\286\011597176,0.01245010136899439,0.0
Д\286\011597181,0.0030033406228555204,0.0
Д\286\011597258,0.0032655647581858803,0.0
Д\286\011597276,0.004361344597285164,0.0
Д\286\011597315,0.0037368942640424235,0.0
Д\286\011864673,0.0036972574570275007,0.0
Д\286\011864993,0.0037519898092682586,0.0
Д\286\011865031,0.0036636652623261664,0.0
Д\286\011865055,0.003806916888088832,0.0
Д\286\011865132,0.004509668223951961,0.0
Д\286\011865150,0.007918570737474711,0.0
Д\286\011865202,0.005391633956448691,0.0
Д\286\011865212,0.0038168887118635707,0.0
Д\286\011865319,0.004283349932347638,0.0
Д\286\011865334,0.003134403770696835,0.0
Д\286\011865361,0.00562379078766332,0.0
Д\286\011865379,0.003298720688780533,0.0
Д\286\011865392,0.0030021891788911802,0.0
Д\286\011865401,0.003907124090967853,0.0
Д\286\011865402,0.004419486565995375,0.0
Д\286\011865438,0.004705777931507354,0.0
Д\286\011865440,0.005301132726360451,0.0
Д\286\011865472,0.003132667124932468,0.0
Д\286\011865516,0.006298094697364908,0.0
Д\286\011865546,0.0038600358142201006,0.0
Д\286\011865551,0.004753278421397368,0.0
Д\286\011865589,0.00419044823086273,0.0
Д\286\011865596,0.004148464399572832,0.0
Д\286\011865627,0.010105761431646465,0.0
Д\286\011865650,0.008233512087199068,0.0
Д\286\011865764,0.0046262136912467045,0.0
Д\286\011865784,0.005243253772038927,0.0
Д\286\011865807,0.0038699666054361815,0.0
Д\286\011865810,0.005380654988823453,0.0
Д\286\011865854,0.003391222296131217,0.0
Д\286\011865863,0.0044618794066181135,0.0
Д\286\011865918,0.0037106091785407795,0.0
Д\286\011865922,0.0035059973226155227,0.0
Д\286\011865944,0.004148464399572832,0.0
Д\286\011865949,0.007890608081724952,0.0
Д\286\011865994,0.004350255496879329,0.0
Д\286\011866015,0.0061840302400009315,0.0
Д\286\011866025,0.0037343131207147875,0.0
Д\286\011866029,0.004735771776471081,0.0
Д\286\011866053,0.004334319506997921,0.0
Д\286\011866057,0.003264313109865217,0.0
Д\286\011866118,0.0034559141556699774,0.0
Д\286\011866122,0.0037065973408835304,0.0
Д\286\011866134,0.0032531193436227544,0.0
Д\286\011866157,0.003936165549730856,0.0
Д\286\011866183,0.0036922840175484016,0.0
Д\286\011866206,0.0043656439598321745,0.0
Д\286\011866245,0.004336742882512425,0.0
Д\286\011866246,0.0034326514516994223,0.0
Д\286\011866258,0.004751118975391891,0.0
Д\286\011866265,0.004148464399572832,0.0
Д\286\011866281,0.004357038069092237,0.0
Д\286\011866300,0.004613363418159846,0.0
Д\286\011866344,0.003810419463975577,0.0
Д\286\011866357,0.0045786277383759524,0.0
Д\286\011866403,0.003770960999993035,0.0
Д\286\011866434,0.005900445938528098,0.0
Д\286\011866446,0.004805222454492608,0.0
Д\286\011866472,0.005227202659661411,0.0
Д\286\011866487,0.00635258718576531,0.0
Д\286\011866494,0.006847319666820346,0.0
Д\286\011866495,0.007580740734553724,0.0
Д\286\011866516,0.005344162416413765,0.0
Д\286\011866521,0.00562301297602006,0.0
Д\286\011866606,0.0035312503688972796,0.0
Д\286\011866621,0.003968512680449381,0.0
Д\286\011866624,0.0037067515426369895,0.0
Д\286\011866635,0.003810419463975577,0.0
Д\286\011866678,0.004650504999818882,0.0
Д\286\011866679,0.0034426942847352064,0.0
Д\286\011866680,0.0030033406228555204,0.0
Д\286\011866714,0.003231520008610353,0.0
Д\286\011866767,0.006620658378121559,0.0
Д\286\011866771,0.003882132472135969,0.0
Д\286\011866773,0.008219442882268467,0.0
Д\286\011866777,0.0038790334332598968,0.0
Д\286\011866796,0.003134403770696835,0.0
Д\286\011866802,0.00769177374331294,0.0
Д\286\011866818,0.005141845280905726,0.0
Д\286\011866824,0.004250857696806068,0.0
Д\286\011866825,0.003177344494017946,0.0
Д\286\011866842,0.0032531193436227544,0.0
Д\286\011866934,0.004076241771054468,0.0
Д\286\011866978,0.004997864832178324,0.0
Д\286\011866999,0.004678449373910298,0.0
Д\286\011867012,0.0053886853088307,0.0
Д\286\011867047,0.00878731279399298,0.0
Д\286\011867048,0.004847831510412736,0.0
Д\286\011867053,0.00487316981340171,0.0
Д\286\011867072,0.0041332273546890175,0.0
Д\286\011867126,0.0037692691006180373,0.0
Д\286\011867148,0.004660165135243597,0.0
Д\286\011867150,0.00752808367512581,0.0
Д\286\011867167,0.011655665015546953,0.0
Д\286\011867170,0.006309790836860535,0.0
Д\286\011867193,0.004549165298965966,0.0
Д\286\011867202,0.0035349608461092644,0.0
Д\286\011867206,0.0033025002122944462,0.0
Д\286\011867225,0.0038858197435877786,0.0
Д\286\011867245,0.006960491229399085,0.0
Д\286\011867250,0.003000099153222322,0.0
Д\286\011867255,0.004175674725532988,0.0
Д\286\011867272,0.0038154265571716476,0.0
Д\286\011867295,0.003907943430109892,0.0
Д\286\011867298,0.007502335678714939,0.0
Д\286\011867345,0.00337117196044744,0.0
Д\286\011867352,0.01081180744044463,0.0
Д\286\011867416,0.0037417449082705325,0.0
Д\286\011867446,0.00675485263887505,0.0
Д\286\011867480,0.0037771179823328014,0.0
Д\286\011867564,0.0036086923157235768,0.0
Д\286\011867611,0.004336742882512425,0.0
Д\286\011867619,0.0036947394396442254,0.0
Д\286\011867622,0.003968512680449381,0.0
Д\286\011867630,0.004549165298965966,0.0
Д\286\011867638,0.007773505828877359,0.0
Д\286\011867696,0.005710699381219845,0.0
Д\286\011867700,0.0077491492964012155,0.0
Д\286\011867706,0.00396702262619415,0.0
Д\286\011867707,0.004013671064759792,0.0
Д\286\011867713,0.003566697230454688,0.0
Д\286\011867718,0.013267687646204495,0.0
Д\286\011867737,0.004469368976240096,0.0
Д\286\011867776,0.0046517091899296,0.0
Д\286\011867783,0.003981786887677561,0.0
Д\286\011867791,0.004777408699239024,0.0
Д\286\011867804,0.005063803117648075,0.0
Д\286\011867840,0.0034885115079347166,0.0
Д\286\011867878,0.005785527942148632,0.0
Д\286\011867879,0.004013671064759792,0.0
Д\286\011867891,0.0074762172069571834,0.0
Д\286\011867894,0.005857084071920275,0.0
Д\286\011867913,0.004029728685658949,0.0
Д\286\011867917,0.006175563679137013,0.0
Д\286\011867930,0.00415048461576557,0.0
Д\286\011867942,0.003793453855130539,0.0
Д\286\011867958,0.0075735136368043614,0.0
Д\286\011867965,0.004347851634210543,0.0
Д\286\011867974,0.005638069113467943,0.0
Д\286\011867980,0.005371955334573705,0.0
Д\286\011867983,0.003434021203330019,0.0
Д\286\011867986,0.004148464399572832,0.0
Д\286\011867991,0.003247138611260449,0.0
Д\286\011867992,0.017139344922355002,0.0
Д\286\011868029,0.010101095256930124,0.0
Д\286\011868049,0.004372349482693652,0.0
Д\286\011868093,0.007985336922386807,0.0
Д\286\011868106,0.005194594985393727,0.0
Д\286\011868108,0.0036240075135271135,0.0
Д\286\011868170,0.00810202432186169,0.0
Д\286\011868185,0.004340612926273409,0.0
Д\286\011868206,0.0038699666054361815,0.0
Д\286\011868211,0.005922194643591203,0.0
Д\286\011868220,0.003810419463975577,0.0
Д\286\011868259,0.004512740834133001,0.0
Д\286\011868281,0.003810419463975577,0.0
Д\286\011868354,0.01083445420979739,0.0
Д\286\011868377,0.0038052920194753307,0.0
Д\286\011868388,0.0036958409600590415,0.0
Д\286\011868433,0.004161209897120161,0.0
Д\286\011868439,0.0032324305473885565,0.0
Д\286\011868440,0.004419486565995375,0.0
Д\286\011868448,0.003985811226585215,0.0
Д\286\011868463,0.004357038069092237,0.0
Д\286\011868516,0.004741133376701856,0.0
Д\286\011868526,0.015288347128768484,0.0
Д\286\011868541,0.006606105708741107,0.0
Д\286\011868543,0.007235466841452491,0.0
Д\286\011868557,0.003958773913663073,0.0
Д\286\011868563,0.006631770235816713,0.0
Д\286\011868575,0.005698068765083208,0.0
Д\286\011868585,0.003949342054342636,0.0
Д\286\011868596,0.005120873835182589,0.0
Д\286\011868652,0.012380403088318722,0.0
Д\286\011868725,0.005279393111661191,0.0
Д\286\011868738,0.004112471299253615,0.0
Д\286\011868756,0.004731213052630887,0.0
